Manuscript,Taxa,Total_Field_Seasons,Device_Pairing_Abbreviation,Intermediate_Device_Pairing,Broad_Device_Pairings,Tracking_Group,Monitor_Group,Discipline,Sub_discipline,Single_or_Multiple_Pairing,Total_Devices,Water_Type,Min_C_Depth_m,Min_length_Tag_cm,Max_C_Depth_m,Max_length_Tag_cm,Max_Days_Tracked,Max_Hours_Recorded,Min_Days_Tracked,Min_Hours_Recorded,Depth_groups,Length_Groups,Tracking_Days,Recording_Hours
Acuna_Marrero_2017,Chondrichthyes,2,AC + SA + B,Acoustic_Satellite_Baited,Both_Baited,Acoustic_Satellite,Baited,Conservation Measures,Marine protected areas and reserves,Multiple,3,Saltwater,10,140,25,383,333,100,1,Not Reported,3m to 40m,Medium,Long Term,Long Term
Acuna_Marrero_2017,Chondrichthyes,2,AC + SA + B,Acoustic_Satellite_Baited,Both_Baited,Acoustic_Satellite,Baited,Other Drivers of Movement and Behavior,Demographics,Multiple,3,Saltwater,10,140,25,383,333,100,1,Not Reported,3m to 40m,Medium,Long Term,Long Term
Acuna_Marrero_2017,Chondrichthyes,2,AC + SA + B,Acoustic_Satellite_Baited,Both_Baited,Acoustic_Satellite,Baited,Other Drivers of Movement and Behavior,Ontogenic,Multiple,3,Saltwater,10,140,25,383,333,100,1,Not Reported,3m to 40m,Medium,Long Term,Long Term
Acuna_Marrero_2017,Chondrichthyes,2,AC + SA + B,Acoustic_Satellite_Baited,Both_Baited,Acoustic_Satellite,Baited,Other Drivers of Movement and Behavior,Seasonal Differences,Multiple,3,Saltwater,10,140,25,383,333,100,1,Not Reported,3m to 40m,Medium,Long Term,Long Term
Acuna_Marrero_2017,Chondrichthyes,2,AC + SA + B,Acoustic_Satellite_Baited,Both_Baited,Acoustic_Satellite,Baited,Behavioural Ecology,Behavioural states and adaptations,Multiple,3,Saltwater,10,140,25,383,333,100,1,Not Reported,3m to 40m,Medium,Long Term,Long Term
Acuna_Marrero_2017,Chondrichthyes,2,AC + SA + B,Acoustic_Satellite_Baited,Both_Baited,Acoustic_Satellite,Baited,Behavioural Ecology,Habitat and space use,Multiple,3,Saltwater,10,140,25,383,333,100,1,Not Reported,3m to 40m,Medium,Long Term,Long Term
Akiyama_2019,Cetacea,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Predator_prey interactions,Single,2,Saltwater,4,Not Reported,35,Not Reported,1,12.5,0.16,2.9,3m to 40m,Not Reported,Short Term,Medium Term
Akiyama_2019,Cetacea,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Energetics,Single,2,Saltwater,4,Not Reported,35,Not Reported,1,12.5,0.16,2.9,3m to 40m,Not Reported,Short Term,Medium Term
Akiyama_2019,Cetacea,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Co_existence,Single,2,Saltwater,4,Not Reported,35,Not Reported,1,12.5,0.16,2.9,3m to 40m,Not Reported,Short Term,Medium Term
Alos_2016,Teleostei,2,AC + B,Acoustic_Baited,Receiver_Baited,Acoustic,Baited,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,Not Reported,15.3,Not Reported,20.9,25,Not Reported,17,30,Not Reported,Small,Short Term,Not Reported
Alos_2016,Teleostei,2,AC + B,Acoustic_Baited,Receiver_Baited,Acoustic,Baited,Behavioural Ecology,Habitat and space use,Single,2,Saltwater,Not Reported,15.3,Not Reported,20.9,25,Not Reported,17,30,Not Reported,Small,Short Term,Not Reported
Alos_2016,Teleostei,2,AC + B,Acoustic_Baited,Receiver_Baited,Acoustic,Baited,Behavioural Ecology,Population structuring,Single,2,Saltwater,Not Reported,15.3,Not Reported,20.9,25,Not Reported,17,30,Not Reported,Small,Short Term,Not Reported
Alos_2016,Teleostei,2,AC + B,Acoustic_Baited,Receiver_Baited,Acoustic,Baited,Conservation Measures,Human_wildlife interactions,Single,2,Saltwater,Not Reported,15.3,Not Reported,20.9,25,Not Reported,17,30,Not Reported,Small,Short Term,Not Reported
Anderson_2022,Chondrichthyes,1,AC + Mobile,Acoustic_Mobile,Receiver_Mobile,Acoustic,Mobile,Other Drivers of Movement and Behavior,Ontogenic,Single,2,Saltwater,Not Reported,152,0,315,113,7,1,Not Reported,Surface to 3m,Large,Medium Term,Medium Term
